"DESC","CODE"
"Serious liver diseases","0CX"
"Serious heart and lungs disorders","0DX"
"Certain disorders involving lymphohematopoeitic system","0EX"
"Primary diagnosis of trauma for craniotomy","1BX"
"Intracranial hemorrhage","1CX"
"Diagnostic procedure for nervous system neoplasms","1PBX"
"Major eye injuries","2BX"
"Procedure for major eye injury","2PCX"
"Posterior cataract fragmentation/aspiration","2PDX"
"Upper airway obstruction diagnoses","3BX"
"Dentral extraction and restoration","3PBX"
"ENT & mouth diagnostic procedures for malignancy","3PCX"
"Procedures for upper airway obstruction","3PDX"
"Head & neck reconstruction procedures","3PEX"
"Tracheostomy status","4BX"
"Diagnostic procedures for respiratory malignancy","4PCX"
"Heart failure and shock","5BX"
"AMI major complication","5CX"
"Cardiovascular complex diagnoses","5DX"
"Cardiac catheter for valve procedures","5PBX"
"PTCA","5PCX"
"Coronary artery stent insertion","5PDX"
"Coronary bypass or VSD repair","5PEX"
"Multiple vessel PTCA","5PFX"
"Single vessel PTCA","5PGX"
"Thrombolytic agent or platelet inhibitor injection","5PHX"
"Peripheral stent insertion","5PJX"
"Major digestive diseases","6BX"
"Complicating appendiceal diagnosis","6CX"
"Diagnostic procedure for GI malignancy","6PBX"
"Closed common duct exploration","7PBX"
"Diagnostic procedure for heptobiliary malignancy","7PDX"
"Major joint procedure of hip","8PCX"
"Major joint procedure of knee","8PDX"
"Other major joint procedure of lower extremities","8PEX"
"Diagnostic procedure for MS&CT malignancy","8PFX"
"Skin ulcer or cellulitis","9BX"
"Multiple excisional wound debridement","9PBX"
"Diagnostic procedure for breast malignancy","9PCX"
"Total breast reconstruction","9PDX"
"Hemodialysis","10PBX"
"ESWL","11PBX"
"Diagnostic procedure for KUB malignancy","11PCX"
"Diagnostic procedure for male genital organ malignancy","12PBX"
"Gynecologic diagnostic procedures","13PBX"
"Delivery & outcome","14BX"
"Severe complicating diagnosis","14CX"
"Moderate complicating diagnosis","14DX"
"Postpartum care","14EX"
"Significant antenatal complication","14FX"
"Vaginal delivery","14GX"
"Delivery by cesarean section","14HX"
"Other multiple delivery","14JX"
"Shock","14KX"
"Cesarean section","14PBX"
"Complicating OR procedure for vaginal delivery","14PCX"
"Procedure for ectopic pregnancy","14PDX"
"D&C and asp curettage","14PEX"
"Abd hysterectomy and hysterotomy","14PFX"
"Sterilization","14PGX"
"Non-OR procedure for vaginal delivery","14PHX"
"Minor procedure for vaginal delivery","14PJX"
"Major CC for newborn","15BX"
"Other CC for newborn","15CX"
"Significant procedure for newborn","15PBX"
"Minor procedure for newborn","15PCX"
"Major procedure for newborn","15PDX"
"Major cardiothoracic procedure","15PEX"
"Coag factor transfusion","16PBX"
"Diagnostic procedure for myeloproliferative disease","17PBX"
"Shock","18BX"
"Electroconvulsive therapy","19PBX"
"Inhalation injuries","22BX"
"Neuromuscular diagnoses","23BX"
"Endoscopy","23PBX"
"Multiple wound debridement","24PBX"
"HIV-related CNS diseases","25BX"
"HIV-related malignancy","25CX"
"HIV-related infection","25DX"
"Cerebrovascular diseases","28BX"
"Acute myocardial infarction","28CX"
"Gastrointestinal hemorrhage","28DX"
"Certain cancer","28EX"
"Mechanical ventilation","28PBX"
"Radiotherapy","99BX"
"Chemotherapy","99CX"
"Blood transfusion","99PBX"
"Continuous mechanical ventilation (96 consecutive hours or more)","99PCX"
"Tracheostomy","99PDX"
"Radiotherapeutic procedure","99PEX"
"Parental cancer chemotherapy","99PFX"
