"CODE","MDCMALE","PDCMALE","MDCFEM","PDCFEM","DESC"
"A510","12","12C","13","13D","Primary genital syphilis"
"A540","12","12C","13","13D","Gonococcal infection of lower genitourinary tract without periurethral or  accessory gland abscess"
"A541","12","12C","13","13D","Gonococcal infection of lower genitourinary tract with periurethral and  accessory gland abscess"
"A542","12","12C","13","13E","Gonococcal pelviperitonitis and other gonococcal genitourinary infection"
"A55","12","12C","13","13D","Chlamydial lymphogranuloma (venereum)"
"A560","12","12C","13","13D","Chlamydial infection of lower genitourinary tract"
"A561","12","12C","13","13E","Chlamydial infection of pelviperitoneum and other genitourinary organs"
"A562","12","12C","13","13E","Chlamydial infection of genitourinary tract, unspecified"
"A568","12","12C","13","13E","Sexually transmitted chlamydial infection of other sites"
"A57","12","12C","13","13D","Chancroid"
"A58","12","12C","13","13D","Granuloma inguinale"
"A590","12","12C","13","13D","Urogenital trichomoniasis"
"A600","12","12C","13","13D","Herpesviral infection of genitalia and urogenital tract"
"A609","12","12C","13","13D","Anogenital herpesviral infection, unspecified"
"A638","12","12C","13","13D","Other specified predominantly sexually transmitted diseases"
"A64","12","12C","13","13D","Unspecified sexually transmitted disease"
"A749","12","12C","13","13D","Chlamydial infection, unspecified"
"B374","12","12C","13","13D","Candidiasis of other urogenital sites"
"C763","12","12A","13","13A","Malignant neoplasm of pelvis"
"I862","12","12E","13","13F","Pelvic varices"
"N393","11","11F","13","13F","Stress incontinence"
"Q960","12","12E","13","13F","Karyotype 45,X"
"Q961","12","12E","13","13F","Karyotype 46,X iso (Xq)"
"Q962","12","12E","13","13F","Karyotype 46,X with abnormal sex chromosome, except iso (Xq)"
"Q963","12","12E","13","13F","Mosaicism, 45,X/46,XX or XY"
"Q964","12","12E","13","13F","Mosaicism, 45,X/other cell line(s) with abnormal sex chromosome"
"Q968","12","12E","13","13F","Other variants of Turner's syndrome"
"Q969","12","12E","13","13F","Turner's syndrome, unspecified"
"S302","12","12E","13","13F","Contusion of external genital organs"
"S315","12","12E","13","13F","Open wound of other and unspecified external genital organs"
"S3770","12","12E","13","13F","Injury of multiple pelvic organs : without open wound into cavity"
"S3771","12","12E","13","13F","Injury of multiple pelvic organs : with open wound into cavity"
"S3780","12","12E","13","13F","Injury of other pelvic organs : without open wound into cavity"
"S3781","12","12E","13","13F","Injury of other pelvic organs : with open wound into cavity"
"S3790","12","12E","13","13F","Injury of unspecified pelvic organ : without open wound into cavity"
"S3791","12","12E","13","13F","Injury of unspecified pelvic organ : with open wound into cavity"
"S380","12","12E","13","13F","Crushing injury of external genital organs"
"S382","12","12E","13","13F","Traumatic amputation of external genital organs"
"Z302","12","12D","13","13F","Sterilization"
"Z310","12","12E","13","13F","Tuboplasty or vasoplasty after previous sterilization"
