"CCROW","CCL"
"1","44444444444444444444444444444444444444444444444444444444444333333333333333333333332333333333333333"
"2","44444444444444444444444444444444444444444444444444444444444333333333333333333333333333333333333333"
"3","44444444444444444444444444444432444444444444444434444444443233333333333333333333333333333333333333"
"4","44444444444444444444444444444444444444444444444444444444444233333333333333333332333333333333333233"
"5","44444444444444444444444444444444444444444444444444444444414133333313131333332331333333333331331331"
"6","44444444444444444444444444444444444444444444444444444444444333333333333333322233333333333333333333"
"7","44444444444444444444444444444444444444444444444444444444444222222222222222222322223222222222222222"
"8","44444444444444444444444424444444444444444444444444444444444222222222222222222322223222222222222222"
"9","44444444444444444444444444444444444444444444444444444444444222222222222222222222222222222222222222"
"10","44444444444444444444444444444444444444444444444444424444444222222222222222222222222222222222222212"
"11","44444444444444444444444444444444444434444444443333344444444232232222222232222222222222222222223223"
"12","44444444444444444444444444444444444444444444444444444444444333333333333333233233333333333333333333"
"13","44444444444444444444444444444444444444444444444444444444444333333333323333333333333333333333333333"
"14","44444444444444433433444444444444444443344444444444444444444333333333332333333333333333333333333333"
"15","44444444444433434444444444444444444444444444444444444444444333333333333333313333333333333333333333"
"16","44444444443433333333444444444444444444444444444444444444444333322333333333333333333333333333333323"
"17","44444444344444444444333123344444444444444444444434444444444333333333333323333332333332333332333333"
"18","44444433344444444444444444444443333443333344433333344444434333333333333333333333333333333333333333"
"19","44434444444444444444444444444443344444444444444444444444444233333333333333333333333333333333333333"
"20","44434444444444444344444444444443344444444444444444444444444223333333331233333233332332333333333323"
"21","44432422344444443234443343344433333334333343423334444444434223323232233232222223222232223333333233"
"22","44433333334444433333443343343333333323343333334323333333313122212222222223222221212222222222212221"
"23","34433333333333333333333333333334444433333333333333333344333222222222222222222222223222222222222222"
"24","34333333334333333333343343333334444433333333333333343344433222222222222222222222222222222222222222"
"25","33333344444444444444444444444444444444444444444444444444444333333333333333333333333333333333333333"
"26","33333333333334433333443443344343333333333333433333333343333333333333333333333333333333333333333333"
"27","33333333333333333333333433333333333343333333333333333343333331333333333133333333333333333333333333"
"28","33333333333333333333333334433343333433333334433333333333333332323333233333333333333333333333333333"
"29","33333333333333333333333333333333333333333333333333333333333322322222222222222222332222222222222221"
"30","33333333333333333333333333333333333333333333333333333333333222322122222222222222222222222222222222"
"31","33333333333333333333333333333333333333333333333333334333333222322222222222222222322222222222222221"
"32","33333333333333333333333333333333333323333333333333333333333222322222222222221221322222222222222221"
"33","33333333333333333333333333333333333333333333333333333333333222222222222222222222223222222222222222"
"34","33333333333333333333333333333333333333333333333333333333333222222222222222222222222222222222222222"
"35","34333333334334433333343333333343343333333333333333333343333332322232322232222223232322233332233233"
"36","33333333333333333333333333333433333333333333333333333333333222222222222222222222222222222222222222"
"37","33333333333333333333333333333333333333333333333333333333333232222222222222222222222222222222222222"
"38","33333333333334433343343333333333333333333334333333333333333332223222322332222223233322233223232223"
"39","33333333333333333333343333333333333333333333333333333333333222322232322232222222222222222223222222"
"40","34333333333333333333333333333343343333333334333333333333333222223222322232222323222222222232223232"
"41","33333333333333333333333333333333333333333343343333333333334332222222322222222222222222232222222232"
"42","33333333333333333333333333333333333334333333333333333333333222322222222222222222222222222222222222"
"43","33333333333333333333333333333343333333333333333333333333333222322222322232222223222222223222223222"
"44","33333333343333333333333333333333333333333333333333331333333222222222112222222221222222222222222222"
"45","33333333333333333333333333323333333333333333333233333331333222222222222222222221222222222222222222"
"46","34333333333434443433443333334333344433333422222232234443334333333333323322233223223322233333233233"
"47","33333333333333333333333333333333333322333333333333333333333222222222222222222222222222222222222222"
"48","33333333333333333333333333332223333333332333333333333343333222322232222222222223222222222222222222"
"49","33333333333333333333333323333332222233333333332222233333333123333332222222222222332222222222223222"
"50","33333333333334333333332334333333333333333334433333333333334332323232322222223222222222232222223232"
"51","34333333333333332333343344333333343344333333333333333333333222232232222232222222223222222222222233"
"52","33333333333333343333333333433333333333333333333333333323333222222222222222222222222223222222222222"
"53","33333322333333333333333333333333333333333333333333334333333333333332333333333333332333333333333333"
"54","33333312333333333333333333333333333333333333333333333333333222222222222222222222222222222222222221"
"55","33333322222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222"
"56","33333322222222222222242222222222222222222222222221222222222222121222222222222122212222222222222222"
"57","33322222223333322222332232232232222222232222223222222222222222222222222222222222222222222222222222"
"58","24222222222222222222222222222222333222222222222222222222222212222222222222222222222222222222222222"
"59","24222222222222222222222222222222333222222222222222222222222222222222222222222222222222222222222222"
"60","33333333333333333333333333333333333333333333333333333333333222232222122222222221222122222221222222"
"61","23322222222222222222222222222222222222222222222232222222222232322232322232222223222222223222233222"
"62","22422222222222222222222232222222224222222223222222221222222222222222222222222221222222222222222222"
"63","22222222223333122222332231232222222222232222223222222222222222222222222222222222222222212222222211"
"64","22222222223333322222332232232222222222232222223222222222222222222222222222222223222122222222222212"
"65","22222222223333322222332232232222222222232222223222222222222222222222222222222223232222222222232222"
"66","22222222223333322222332232232222222222232222223232222222222222322232222222222223232222222222233233"
"67","22222222223333322222332222232222222222232222223222222222222222222222222222222222222222222222222222"
"68","22222222223222222222222222222222222222222222222222222222222222222222222222222222222222222222222222"
"69","22222222223222222222222222222222222222222222222222222222222222122222222222222222222222222222222221"
"70","22222222222422222222222222222223333322222223222222224222224222322232222222222221222222232222222232"
"71","22222222222222222222222222222222222222222222222222222322212222222222222222222222222222222222222221"
"72","22222222222222422222222222222222222222222222222232222222222222233222222232222223222222233223233223"
"73","22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222"
"74","22222222222222222222222222222222222222222222222222222222222221112222222222222222222222222222222222"
"75","22222222222222222222222222222222222222222222222222222222222222122222222222222222222222222222221212"
"76","22222222222222222222222222222222222222222222222222222222222122222222222222222222222222222222222222"
"77","22222222222222222222242222222222222222222222222222222222222222222232222222222222222222222222222222"
"78","22222222222222222222222222222222222222222222222222222222224222322222222222222222222222222222223222"
"79","22222222222222222222222242222222222222222223222222222222212122222222122222222221222222222222222222"
"80","22222212222222222222222222222222222222222222222222222222222122222222222222222222222222222222222221"
