"DAGGER","ASTERISK","PDX","SDX"
"A010","G01","G01","A010"
"A010","I390","I390","A010"
"A010","I391","I391","A010"
"A010","I392","I392","A010"
"A010","I393","I393","A010"
"A010","I394","I394","A010"
"A010","I398","I398","A010"
"A010","I410","I410","A010"
"A010","J170","J170","A010"
"A010","M013","M013","A010"
"A010","M0130","M0130","A010"
"A010","M0131","M0131","A010"
"A010","M0132","M0132","A010"
"A010","M0133","M0133","A010"
"A010","M0134","M0134","A010"
"A010","M0135","M0135","A010"
"A010","M0136","M0136","A010"
"A010","M0137","M0137","A010"
"A010","M0138","M0138","A010"
"A010","M0139","M0139","A010"
"A010","M492","M492","A010"
"A010","M4920","M4920","A010"
"A010","M4921","M4921","A010"
"A010","M4922","M4922","A010"
"A010","M4923","M4923","A010"
"A010","M4924","M4924","A010"
"A010","M4925","M4925","A010"
"A010","M4926","M4926","A010"
"A010","M4927","M4927","A010"
"A010","M4928","M4928","A010"
"A010","M4929","M4929","A010"
"A010","M902","M902","A010"
"A010","M9020","M9020","A010"
"A010","M9021","M9021","A010"
"A010","M9022","M9022","A010"
"A010","M9023","M9023","A010"
"A010","M9024","M9024","A010"
"A010","M9025","M9025","A010"
"A010","M9026","M9026","A010"
"A010","M9027","M9027","A010"
"A010","M9028","M9028","A010"
"A010","M9029","M9029","A010"
"A011","M013","M013","A011"
"A011","M0130","M0130","A011"
"A011","M0131","M0131","A011"
"A011","M0132","M0132","A011"
"A011","M0133","M0133","A011"
"A011","M0134","M0134","A011"
"A011","M0135","M0135","A011"
"A011","M0136","M0136","A011"
"A011","M0137","M0137","A011"
"A011","M0138","M0138","A011"
"A011","M0139","M0139","A011"
"A012","M013","M013","A012"
"A012","M0130","M0130","A012"
"A012","M0131","M0131","A012"
"A012","M0132","M0132","A012"
"A012","M0133","M0133","A012"
"A012","M0134","M0134","A012"
"A012","M0135","M0135","A012"
"A012","M0136","M0136","A012"
"A012","M0137","M0137","A012"
"A012","M0138","M0138","A012"
"A012","M0139","M0139","A012"
"A013","M013","M013","A013"
"A013","M0130","M0130","A013"
"A013","M0131","M0131","A013"
"A013","M0132","M0132","A013"
"A013","M0133","M0133","A013"
"A013","M0134","M0134","A013"
"A013","M0135","M0135","A013"
"A013","M0136","M0136","A013"
"A013","M0137","M0137","A013"
"A013","M0138","M0138","A013"
"A013","M0139","M0139","A013"
"A014","M013","M013","A014"
"A014","M0130","M0130","A014"
"A014","M0131","M0131","A014"
"A014","M0132","M0132","A014"
"A014","M0133","M0133","A014"
"A014","M0134","M0134","A014"
"A014","M0135","M0135","A014"
"A014","M0136","M0136","A014"
"A014","M0137","M0137","A014"
"A014","M0138","M0138","A014"
"A014","M0139","M0139","A014"
"A022","G01","G01","A022"
"A022","J170","J170","A022"
"A022","M013","M013","A022"
"A022","M0130","M0130","A022"
"A022","M0131","M0131","A022"
"A022","M0132","M0132","A022"
"A022","M0133","M0133","A022"
"A022","M0134","M0134","A022"
"A022","M0135","M0135","A022"
"A022","M0136","M0136","A022"
"A022","M0137","M0137","A022"
"A022","M0138","M0138","A022"
"A022","M0139","M0139","A022"
"A022","M902","M902","A022"
"A022","M9020","M9020","A022"
"A022","M9021","M9021","A022"
"A022","M9022","M9022","A022"
"A022","M9023","M9023","A022"
"A022","M9024","M9024","A022"
"A022","M9025","M9025","A022"
"A022","M9026","M9026","A022"
"A022","M9027","M9027","A022"
"A022","M9028","M9028","A022"
"A022","M9029","M9029","A022"
"A022","N160","N160","A022"
"A039","M013","M013","A039"
"A039","M0130","M0130","A039"
"A039","M0131","M0131","A039"
"A039","M0132","M0132","A039"
"A039","M0133","M0133","A039"
"A039","M0134","M0134","A039"
"A039","M0135","M0135","A039"
"A039","M0136","M0136","A039"
"A039","M0137","M0137","A039"
"A039","M0138","M0138","A039"
"A039","M0139","M0139","A039"
"A046","M032","M032","A046"
"A046","M0320","M0320","A046"
"A046","M0321","M0321","A046"
"A046","M0322","M0322","A046"
"A046","M0323","M0323","A046"
"A046","M0324","M0324","A046"
"A046","M0325","M0325","A046"
"A046","M0326","M0326","A046"
"A046","M0327","M0327","A046"
"A046","M0328","M0328","A046"
"A046","M0329","M0329","A046"
"A049","M492","M492","A049"
"A049","M4920","M4920","A049"
"A049","M4921","M4921","A049"
"A049","M4922","M4922","A049"
"A049","M4923","M4923","A049"
"A049","M4924","M4924","A049"
"A049","M4925","M4925","A049"
"A049","M4926","M4926","A049"
"A049","M4927","M4927","A049"
"A049","M4928","M4928","A049"
"A049","M4929","M4929","A049"
"A068","N512","N512","A068"
"A085","M018","M018","A085"
"A085","M0180","M0180","A085"
"A085","M0181","M0181","A085"
"A085","M0182","M0182","A085"
"A085","M0183","M0183","A085"
"A085","M0184","M0184","A085"
"A085","M0185","M0185","A085"
"A085","M0186","M0186","A085"
"A085","M0187","M0187","A085"
"A085","M0188","M0188","A085"
