"MDC","DC","DCCOL","DRGX","CNAME"
"00","0001","28","1","Liver transplant"
"00","0002","13","1","Heart and/or lung transplant"
"00","0004","53","1","Bone marrow transplant"
"01","0101","2","5","Craniotomy  for trauma"
"01","0102","2","5","Craniotomy  except for trauma"
"01","0103","3","5","Spinal procedures"
"01","0104","1","5","Ventricular shunt revision"
"01","0105","4","5","Extracranial vascular procedures"
"01","0106","6","5","Peripheral & cranial nerve & other NS proc"
"01","0107","5","5","Carpal tunnel release"
"01","0108","2","5","Intracranial vasc proc for PDx intracranial h'ge"
"01","0109","2","5","Intracranial vascular procedures"
"01","0110","2","5","Intracranial vascular w endovascular procedures"
"01","0112","2","5","Craniotomy (multiple) for trauma"
"01","0113","2","5","Craniotomy (multiple)"
"01","0114","2","5","Endovascular procedures"
"01","0115","2","5","Trach for NS disease w mech vent 96+ hr"
"01","0116","2","5","Trach for NS disease"
"01","0117","2","5","Plasmapheresis for neurologic disease"
"01","0150","61","5","Spinal disorders and injuries"
"01","0151","61","5","Cerebral palsy"
"01","0152","51","5","Nervous system neoplasms"
"01","0153","61","5","Degenerative  nervous system disorders"
"01","0154","61","5","Multiple sclerosis and cerebellar ataxia"
"01","0155","61","5","Specific cerebrovascular disorders exc TIA, not transferred"
"01","0156","61","5","TIA and precerebral occlusions"
"01","0157","61","5","Nonspecific cerebrovascular disorders"
"01","0158","61","5","Cranial and peripheral nerve disorders"
"01","0159","61","5","Nervous syst infection exc viral meningitis, not transferred"
"01","0160","61","5","Viral meningitis"
"01","0161","61","5","Nontraumatic stupor and coma"
"01","0162","61","5","Febrile convulsions"
"01","0163","61","5","Seizure disorders"
"01","0164","61","5","Headache"
"01","0165","61","5","Intracranial injury"
"01","0166","61","5","Skull fractures"
"01","0167","61","5","Other head injury"
"01","0168","61","5","Other disorders of nervous system"
"01","0169","61","5","Guillain-Barre syndrome"
"01","0170","51","5","Nervous system neoplasms with chemo- and radiotherpy"
"01","0171","51","5","Nervous system neoplasms with chemotherpy"
"01","0172","51","5","Nervous system neoplasms with radiotherpy"
"01","0173","51","5","Nervous system neoplasms with diag proc"
"01","0174","51","5","NS neoplasms with blood transfusion"
"01","0175","61","5","Specific cerebrovascular disorders exc TIA, transferred"
"01","0176","61","5","Nervous syst infection exc viral meningitis, transferred"
"02","0201","8","5","Retinal procedures"
"02","0202","8","5","Enucleation and orbital procedures"
"02","0203","8","5","Proc for major eye injury"
"02","0205","8","5","Intraocular proc except lens & retina"
"02","0206","7","5","Major lens procedures"
"02","0207","7","5","Other lens procedures"
"02","0208","8","5","Other eye  procedures"
"02","0209","8","5","Keratoplasty"
"02","0210","8","5","Enucleation and orbital proc for eye malignancy"
"02","0211","7","5","Multiple major lens procedures"
"02","0212","7","5","Multiple other lens procedures"
"02","0213","8","5","Major proc for lacrimal system"
"02","0214","59","5","Trach for eye diseases w mech vent 96+ hr"
"02","0215","59","5","Trach for eye diseases"
"02","0250","85","5","Hyphema and medically managed trauma"
"02","0251","85","5","Acute and major eye infections age > 54"
"02","0252","85","5","Acute and major eye infections age < 55"
"02","0253","85","5","Neurological and vasc disor of the eye"
"02","0254","85","5","Other disorders of the eye"
"02","0255","51","5","Malignant neoplasm of the eye"
"03","0301","10","5","Major head and neck proc"
"03","0302","10","5","Surgical repair for cleft lip or palate"
"03","0303","10","5","Maxillo surgery"
"03","0304","10","5","Salivary procedures"
"03","0305","10","5","Minor nose & sinus procedures"
"03","0306","9","5","Mouth procedures"
"03","0307","10","5","Misc ear, nose, mouth & throat proc"
"03","0308","10","5","Rhinoplasty w or wo turbinectomy"
"03","0309","10","5","Tonsillectomy & adenoidectomy"
"03","0310","10","5","Other ear, nose, mouth & throat procedures"
"03","0311","10","5","Myringotomy with tube insertion"
"03","0312","86","5","Dental extractions and restorations"
"03","0313","10","5","Pharyngeal and laryngeal procedures"
"03","0314","10","5","Minor head and neck procedures"
"03","0315","10","5","Mastoidectomy & inner ear procedures"
"03","0316","10","5","Major sinus procedures"
"03","0317","10","5","Tympanoplasty and other ear procedures"
"03","0318","10","5","Trach for ENT diseases w mech vent 96+ hr"
"03","0319","10","5","Trach for ENT diseases"
"03","0320","10","5","Laryngectomy"
"03","0321","10","5","Major head and neck proc w reconstruction"
"03","0322","10","5","Trach w other proc for upper airway obstruction"
"03","0323","10","5","Trach for upper airway obstruction"
"03","0350","51","5","Ear, nose, mouth and throat malignancy"
"03","0351","86","5","Dysequilibrium"
"03","0352","86","5","Epistaxis"
"03","0353","86","5","Otitis media and URI"
"03","0354","86","5","Epiglottitis and cellulitis of face & neck"
"03","0355","86","5","Nasal trauma and deformity"
"03","0356","86","5","Other ear, nose, mouth and throat diagnoses"
"03","0357","86","5","Dental & oral disorders"
"03","0358","51","5","ENT & mouth malignancy with chemo- and radiother"
"03","0359","51","5","ENT & mouth malignancy with chemotherapy"
"03","0360","51","5","ENT & mouth malignancy with radiotherapy"
"03","0361","51","5","ENT & mouth malignancy with diagnostic proc"
"03","0362","51","5","ENT & mouth malignancy with blood transfusion"
"04","0401","11","5","Major chest procedures"
"04","0402","11","5","Other resp system procedures"
"04","0403","67","5","Ventilator support"
"04","0405","67","5","Trach for resp diseases w mech vent 96+ hr"
"04","0406","67","5","Trach for resp diseases"
"04","0407","67","5","Noninvasive ventilation"
"04","0408","11","5","Other minor resp system procedures"
"04","0450","87","5","Cystic fibrosis"
"04","0451","62","5","Pulmonary embolism"
"04","0452","63","5","Respiratory infection/inflammation"
"04","0453","61","5","Sleep apnea"
"04","0454","66","5","Pulmonary edema and respiratory failure, not transferred"
"04","0455","67","5","Chronic obstructive pulmonary disease"
"04","0456","64","5","Major chest trauma"
"04","0457","65","5","Respiratory signs and symptoms"
"04","0458","67","5","Pneumothorax"
"04","0459","67","5","Bronchitis and asthma"
"04","0460","67","5","Whooping cough and acute bronchiolitis"
"04","0461","51","5","Respiratory neoplasms"
"04","0462","65","5","Pleural effusion, not transferred"
"04","0463","67","5","Interstitial lung disease"
"04","0464","65","5","Other respiratory system diagnoses"
"04","0465","51","5","Respiratory neoplasms with chemo- and radiother"
"04","0466","51","5","Respiratory neoplasms with chemotherapy"
"04","0467","51","5","Respiratory neoplasms with radiotherapy"
"04","0468","51","5","Respiratory neoplasms with diag proc"
"04","0469","51","5","Respiratory neoplasms with blood transfusion"
"04","0470","65","5","Pyothorax"
"04","0471","66","5","Pulmonary edema and respiratory failure, transferred"
"04","0472","66","5","Pleural effusion, transferred"
"05","0501","14","5","Valve replacement and open valvuloplasty w cath"
"05","0502","14","5","Valve replacement and open valvuloplasty"
