"MDC","DC","DRG","RW","WTLOS","OT","MDF","DRGNAME"
"00","0001","00019","51.461","29.36","97","1","Liver transplant, w or wo CC"
"00","0002","00029","41.3156","53","99","1","Heart and/or lung transplant, w or wo CC"
"00","0004","00049","48.904","38.03","98","1","Bone marrow transplant, w or wo CC"
"01","0101","01010","3.9029","6.64","17","1","Craniotomy  for trauma, no CC"
"01","0101","01011","4.2439","7.96","21","1","Craniotomy  for trauma, w mild CC"
"01","0101","01012","5.1576","9.33","23","1","Craniotomy  for trauma, w mod CC"
"01","0101","01013","6.2971","10.01","25","1","Craniotomy  for trauma, w severe CC"
"01","0101","01014","8.687200000000001","11.38","31","1","Craniotomy  for trauma, w catas CC"
"01","0102","01020","5.2934","9.380000000000001","26","1","Craniotomy  except for trauma, no CC"
"01","0102","01022","6.9334","11.02","32","1","Craniotomy  except for trauma, w mild to mod CC"
"01","0102","01023","8.868399999999999","12.23","38","1","Craniotomy  except for trauma, w severe CC"
"01","0102","01024","10.4282","16.81","55","1","Craniotomy  except for trauma, w catas CC"
"01","0103","01030","4.0971","9.92","30","1","Spinal procedures, no CC"
"01","0103","01032","5.1779","12.17","38","1","Spinal procedures, w mild to mod CC"
"01","0103","01033","7.0138","17.56","47","1","Spinal procedures, w severe CC"
"01","0103","01034","9.185600000000001","29.26","75","1","Spinal procedures, w catas CC"
"01","0104","01040","2.3947","6.74","24","1","Ventricular shunt revision, no CC"
"01","0104","01042","3.4467","11.9","45","1","Ventricular shunt revision, w mild to mod CC"
"01","0104","01043","4.2552","14.5","54","1","Ventricular shunt revision, w severe CC"
"01","0104","01044","6.4857","18.11","74","1","Ventricular shunt revision, w catas CC"
"01","0105","01050","3.158","5.33","15","1","Extracranial vascular procedures, no CC"
"01","0105","01052","5.3274","8.5","32","1","Extracranial vascular procedures, w mild to mod CC"
"01","0105","01053","7.1444","13.61","40","1","Extracranial vascular procedures, w severe CC"
"01","0105","01054","10.3977","21.07","60","1","Extracranial vascular procedures, w catas CC"
"01","0106","01060","1.9224","4.42","14","1","Peripheral & cranial nerve & other NS proc, no CC"
"01","0106","01061","2.1682","6.25","20","1","Peripheral & cranial nerve & other NS proc, w mild CC"
"01","0106","01062","3.7813","8.449999999999999","25","1","Peripheral & cranial nerve & other NS proc, w mod CC"
"01","0106","01063","4.2645","10.94","40","1","Peripheral & cranial nerve & other NS proc, w severe CC"
"01","0106","01064","6.5413","21.4","71","1","Peripheral & cranial nerve & other NS proc, w catas CC"
"01","0107","01079","0.6105","1.81","6","1","Carpal tunnel release, w or wo CC"
"01","0108","01080","10.9561","12.78","23","1","Intracranial vasc proc for PDx intracranial h'ge, no CC"
"01","0108","01082","12.0307","13.09","25","1","Intracranial vasc proc for PDx intracranial h'ge, w mild to mod CC"
"01","0108","01083","13.7177","16.61","41","1","Intracranial vasc proc for PDx intracranial h'ge, w severe CC"
"01","0108","01084","15.9951","17.92","62","1","Intracranial vasc proc for PDx intracranial h'ge, w catas CC"
"01","0109","01090","9.6495","5.53","15","1","Intracranial vascular procedures, no CC"
"01","0109","01093","12.7813","14.64","51","1","Intracranial vascular procedures, w mild to sev CC"
"01","0109","01094","15.0145","20.55","57","1","Intracranial vascular procedures, w catas CC"
"01","0110","01109","17.3209","17.85","43","1","Intracranial vascular w endovascular procedures, w or wo CC"
"01","0112","01120","6.9138","11.11","31","1","Craniotomy (multiple) for trauma, no CC"
"01","0112","01122","8.7453","13.27","32","1","Craniotomy (multiple) for trauma, w mild to mod CC"
"01","0112","01123","10.8629","16.53","36","1","Craniotomy (multiple) for trauma, w severe CC"
"01","0112","01124","14.4059","20.56","70","1","Craniotomy (multiple) for trauma, w catas CC"
"01","0113","01130","9.7234","18.91","58","1","Craniotomy (multiple), no CC"
"01","0113","01132","11.9051","21.65","63","1","Craniotomy (multiple), w mild to mod CC"
"01","0113","01133","13.6358","24.16","82","1","Craniotomy (multiple), w severe CC"
"01","0113","01134","17.9224","30.13","94","1","Craniotomy (multiple), w catas CC"
"01","0114","01140","9.1107","3.28","12","1","Endovascular procedures, no CC"
"01","0114","01142","10.6811","6.33","14","1","Endovascular procedures, w mild to mod CC"
"01","0114","01143","13.453","7.73","32","1","Endovascular procedures, w severe CC"
"01","0114","01144","14.3498","10.67","53","1","Endovascular procedures, w catas CC"
"01","0115","01150","18.5639","26.25","70","1","Trach for NS disease w mech vent 96+ hr, no CC"
"01","0115","01152","20.1659","31.09","79","1","Trach for NS disease w mech vent 96+ hr, w mild to mod CC"
"01","0115","01153","22.5935","36.57","83","1","Trach for NS disease w mech vent 96+ hr, w severe CC"
"01","0115","01154","24.048","44.82","96","1","Trach for NS disease w mech vent 96+ hr, w catas CC"
"01","0116","01160","18.2866","38.35","85","1","Trach for NS disease, no CC"
