"code","validcode","todel","desc"
"A00","FALSE",,"Cholera"
"A000","TRUE",,"Cholera due to Vibrio cholerae 01, biovar cholerae"
"A001","TRUE",,"Cholera due to Vibrio cholerae 01, biovar eltor"
"A009","TRUE",,"Cholera, unspecified"
"A01","FALSE",,"Typhoid and paratyphoid fevers"
"A010","TRUE",,"Typhoid fever"
"A011","TRUE",,"Paratyphoid fever A"
"A012","TRUE",,"Paratyphoid fever B"
"A013","TRUE",,"Paratyphoid fever C"
"A014","TRUE",,"Paratyphoid fever, unspecified"
"A02","FALSE",,"Other salmonella infections"
"A020","TRUE",,"Salmonella enteritis"
"A021","TRUE",,"Salmonella septicaemia"
"A022","TRUE",,"Localized salmonella infections"
"A028","TRUE",,"Other specified salmonella infections"
"A029","TRUE",,"Salmonella infection, unspecified"
"A03","FALSE",,"Shigellosis"
"A030","TRUE",,"Shigellosis due to Shigella dysenteriae"
"A031","TRUE",,"Shigellosis due to Shigella flexneri"
"A032","TRUE",,"Shigellosis due to Shigella boydii"
"A033","TRUE",,"Shigellosis due to Shigella sonnei"
"A038","TRUE",,"Other shigellosis"
"A039","TRUE",,"Shigellosis, unspecified"
"A04","FALSE",,"Other bacterial intestinal infections"
"A040","TRUE",,"Enteropathogenic Escherichia coli infection"
"A041","TRUE",,"Enterotoxigenic Escherichia coli infection"
"A042","TRUE",,"Enteroinvasive Escherichia coli infection"
"A043","TRUE",,"Enterohaemorrhagic Escherichia coli infection"
"A044","TRUE",,"Other intestinal Escherichia coli infections"
"A045","TRUE",,"Campylobacter enteritis"
"A046","TRUE",,"Enteritis due to Yersinia enterocolitica"
"A047","TRUE",,"Enterocolitis due to Clostridium difficile"
"A048","TRUE",,"Other specified bacterial intestinal infections"
"A049","TRUE",,"Bacterial intestinal infection, unspecified"
"A05","FALSE",,"Other bacterial foodborne intoxications"
"A050","TRUE",,"Food-borne staphylococcal intoxication"
"A051","TRUE",,"Botulism"
"A052","TRUE",,"Food-borne Clostridium perfringens [Clostridium welchii] intoxication"
"A053","TRUE",,"Food-borne Vibrio parahaemolyticus intoxication"
"A054","TRUE",,"Food-borne Bacillus cereus intoxication"
"A058","TRUE",,"Other specified bacterial food-borne intoxications"
"A059","TRUE",,"Bacterial food-borne intoxication, unspecified"
"A06","FALSE",,"Amoebiasis"
"A060","TRUE",,"Acute amoebic dysentery"
"A061","TRUE",,"Chronic intestinal amoebiasis"
"A062","TRUE",,"Amoebic nondysenteric colitis"
"A063","TRUE",,"Amoeboma of intestine"
"A064","TRUE",,"Amoebic liver abscess"
"A065","TRUE",,"Amoebic lung abscess (J99.8*)"
"A066","TRUE",,"Amoebic brain abscess (G07*)"
"A067","TRUE",,"Cutaneous amoebiasis"
"A068","TRUE",,"Amoebic infection of other sites"
"A069","TRUE",,"Amoebiasis, unspecified"
"A07","FALSE",,"Other protozoal intestinal diseases"
"A070","TRUE",,"Balantidiasis"
"A071","TRUE",,"Giardiasis [lambliasis]"
"A072","TRUE",,"Cryptosporidiosis"
