"VALIDCODE","DESC","CODE"
"FALSE","THERAPEUTIC ULTRASOUND","000"
"TRUE","Ther ult head & neck ves","0001"
"TRUE","Ther ultrasound of heart","0002"
"TRUE","Ther ult peripheral ves","0003"
"TRUE","Other therapeutic ultsnd","0009"
"FALSE","PHARMACEUTICALS","001"
"TRUE","Implant chemothera agent","0010"
"TRUE","Infus drotrecogin alfa","0011"
"TRUE","Adm inhal nitric oxide","0012"
"TRUE","Inject/infus nesiritide","0013"
"TRUE","Injection oxazolidinone","0014"
"TRUE","High-dose infusion il-2","0015"
"TRUE","Pressurized treat graft","0016"
"TRUE","Infusion of vasopressor","0017"
"TRUE","INFUS IMMUNOSUP ANTIBODY","0018"
"TRUE","BBBD via infusion","0019"
"FALSE","INTRAVAS IMAG BL VESSELS","002"
"TRUE","Ivus extracran cereb ves","0021"
"TRUE","Ivus intrathoracic ves","0022"
"TRUE","Ivus peripheral vessels","0023"
"TRUE","Ivus coronary vessels","0024"
"TRUE","Ivus renal vessels","0025"
"TRUE","Intravascul imaging NEC","0028"
"TRUE","Intravascul imaging NOS","0029"
"FALSE","COMPUTER ASSIST SURGERY","003"
"TRUE","CAS w CT/CTA","0031"
"TRUE","CAS w MR/MRA","0032"
"TRUE","CAS w fluoroscopy","0033"
"TRUE","Imageless comp asst surg","0034"
"TRUE","CAS w multiple datasets","0035"
"TRUE","Other CAS","0039"
"FALSE","ADJUNCT VAS SYSTEM PROC","004"
"TRUE","PROCEDURE-ONE VESSEL","0040"
"TRUE","PROCEDURE-TWO VESSELS","0041"
"TRUE","PROCEDURE-THREE VESSELS","0042"
"TRUE","PROCEDURE-FOUR+ VESSELS","0043"
"TRUE","PROC-VESSEL BIFURCATION","0044"
"TRUE","INSERT 1 VASCULAR STENT","0045"
"TRUE","INSERT 2 VASCULAR STENTS","0046"
"TRUE","INSERT 3 VASCULAR STENTS","0047"
"TRUE","INSERT 4+ VASCULR STENTS","0048"
"TRUE","SuperSat O2 therapy","0049"
"FALSE","OTHER CARDIOVAS PROC","005"
"TRUE","Impl CRT pacemaker sys","0050"
"TRUE","Impl CRT defibrillat sys","0051"
"TRUE","Imp/rep lead lf ven sys","0052"
"TRUE","Imp/rep CRT pacemakr gen","0053"
"TRUE","Imp/rep CRT defib genat","0054"
"TRUE","Ins d-e stent oth periph","0055"
"TRUE","INS/REP IMPL SENSOR LEAD","0056"
"TRUE","IMP/REP SUBCUE CARD DEV","0057"
"TRUE","Ins intra-ansm pres mntr","0058"
"TRUE","Intravasc msmnt cor art","0059"
"FALSE","PROC ON BLOOD VESSELS","006"
"TRUE","Perc angio precereb vess","0061"
"TRUE","Perc angio intracran ves","0062"
"TRUE","Perc ins carotid stent","0063"
"TRUE","Perc ins precereb stent","0064"
"TRUE","Perc ins intracran stent","0065"
"TRUE","PTCA OR CORONARY ATHER","0066"
"TRUE","Intravas msmnt thorc art","0067"
"TRUE","Intravas msmt periph art","0068"
"TRUE","Intravs msmt ves NEC/NOS","0069"
"FALSE","OTHER HIP PROCEDURES","007"
"TRUE","REV HIP REPL-ACETAB/FEM","0070"
"TRUE","REV HIP REPL-ACETAB COMP","0071"
"TRUE","REV HIP REPL-FEM COMP","0072"
"TRUE","REV HIP REPL-LINER/HEAD","0073"
"TRUE","Hip surface, metal/poly","0074"
"TRUE","Hip surface, metal/metal","0075"
"TRUE","Hip surface, cermc/cermc","0076"
"TRUE","Hip surface, cermc/poly","0077"
"FALSE","OTHER KNEE AND HIP PROC","008"
"TRUE","REV KNEE REPLACEMT-TOTAL","0080"
"TRUE","REV KNEE REPL-TIBIA COMP","0081"
"TRUE","REV KNEE REPL-FEMUR COMP","0082"
"TRUE","REV KNEE REPLACE-PATELLA","0083"
"TRUE","REV KNEE REPL-TIBIA LIN","0084"
"TRUE","RESRF HIP,TOTAL-ACET/FEM","0085"
"TRUE","RESRF HIP,PART-FEM HEAD","0086"
"TRUE","RESRF HIP,PART-ACETABLUM","0087"
"FALSE","OTHER PROC & INTERVENT","009"
"TRUE","Trnsplnt live rel donor","0091"
"TRUE","Trnsplnt live nonrel don","0092"
"TRUE","Transplant cadaver donor","0093"
"TRUE","Intra-op neurophys montr","0094"
"FALSE","CRANIAL PUNCTURE","010"
"TRUE","Cisternal puncture","0101"
"TRUE","Ventriculopunct thru cath","0102"
"TRUE","Other cranial puncture","0109"
"FALSE","SKULL/BRAIN DX PROCEDURE","011"
"TRUE","Intracran pressure montr","0110"
"TRUE","Clos cereb meninges bx","0111"
"TRUE","Open cereb meninges bx","0112"
"TRUE","Closed brain biopsy","0113"
"TRUE","Open brain biopsy","0114"
"TRUE","Skull biopsy","0115"
"TRUE","Intracranial 02 monitor","0116"
"TRUE","Brain temp monitoring","0117"
"TRUE","Other brain dx procedure","0118"
"TRUE","Other skull dx procedure","0119"
"FALSE","CRANIOTOMY & CRANIECTOMY","012"
"TRUE","Cranial sinus I&D","0121"
"TRUE","Removal brain stim lead","0122"
"TRUE","Reopen craniotomy site","0123"
"TRUE","Other craniotomy","0124"
"TRUE","Other craniectomy","0125"
"TRUE","INS CATH CRANIAL CAV/TIS","0126"
"TRUE","REM CATH CRANIAL CAV/TIS","0127"
"TRUE","INTRACEREB CTH-BURR HOLE","0128"
"FALSE","INCISE BRAIN & MENINGES","013"
"TRUE","Incise cerebral meninges","0131"
"TRUE","Lobotomy & tractotomy","0132"
"TRUE","Other brain incision","0139"
"FALSE","THALAMUS/GLOBUS PALL OP","014"
"TRUE","Thalamus operations","0141"
"TRUE","Globus pallidus ops","0142"
"FALSE","EXCISE BRAIN & MENINGES","015"
"TRUE","Ex cereb meningeal les","0151"
"TRUE","Hemispherectomy","0152"
"TRUE","Brain lobectomy","0153"
"TRUE","Other brain excision","0159"
"TRUE","Excise skull lesion","016"
"FALSE","CRANIOPLASTY","020"
"TRUE","Linear craniectomy","0201"
"TRUE","Elevate skull fx fragmnt","0202"
"TRUE","Skull flap formation","0203"
"TRUE","Bone graft to skull","0204"
"TRUE","Skull plate insertion","0205"
"TRUE","Cranial osteoplasty NEC","0206"
"TRUE","Skull plate removal","0207"
"FALSE","CEREBRAL MENINGES REPAIR","021"
"TRUE","Simple suture of dura","0211"
"TRUE","Brain meninge repair NEC","0212"
"TRUE","Meninge vessel ligation","0213"
"TRUE","Choroid plexectomy","0214"
"TRUE","Ventriculostomy","022"
"FALSE","EXTRACRAN VENTRICL SHUNT","023"
"TRUE","Ventricl shunt-head/neck","0231"
"TRUE","Ventri shunt-circula sys","0232"
"TRUE","Ventricl shunt-thorax","0233"
"TRUE","Ventricl shunt-abdomen","0234"
"TRUE","Ventri shunt-uninary sys","0235"
"TRUE","Other ventricular shunt","0239"
"FALSE","VENTRICLE SHUNT REVISION","024"
"TRUE","Irrigate/expl vent shunt","0241"
"TRUE","Replace ventricle shunt","0242"
"TRUE","Remove ventricle shunt","0243"
"FALSE","SKULL & BRAIN OP NEC","029"
"TRUE","Lysis cortical adhesion","0291"
"TRUE","Brain repair","0292"
"TRUE","Imp/repl brain stim lead","0293"
"TRUE","Insert/replac skull tong","0294"
"TRUE","Remove skull tongs","0295"
"TRUE","Insert sphenoid electrod","0296"
"TRUE","Skull & brain op NEC","0299"
"FALSE","SPINAL CANAL EXPLORATION","030"
"TRUE","Removal FB spinal canal","0301"
"TRUE","Reopen laminectomy site","0302"
"TRUE","Spinal canal explor NEC","0309"
"TRUE","Intraspin nerve root div","031"
"FALSE","CHORDOTOMY","032"
"TRUE","Percutaneous chordotomy","0321"
"TRUE","Other chordotomy","0329"
"FALSE","SPINAL CANAL DX PROC","033"
"TRUE","Spinal tap","0331"
"TRUE","Spinal cord/meninges bx","0332"
"TRUE","Other spinal dx proc","0339"
"TRUE","Excis spinal cord lesion","034"
"FALSE","SPINAL CORD PLASTIC OP","035"
"TRUE","Spine meningocele repair","0351"
"TRUE","Myelomeningocel repair","0352"
"TRUE","Vertebral fx repair","0353"
"TRUE","Spinal struct repair NEC","0359"
"TRUE","Spinal cord adhesiolysis","036"
"FALSE","SPINAL THECAL SHUNT","037"
"TRUE","Subarach-periton shunt","0371"
"TRUE","Subarach-ureteral shunt","0372"
"TRUE","Oth spinal thecal shunt","0379"
"TRUE","Destr inject-spine canal","038"
"FALSE","SPIN CANAL STRUCT OP NEC","039"
"TRUE","Insert spinal canal cath","0390"
"TRUE","Anesth inject-spin canal","0391"
"TRUE","Spinal canal inject NEC","0392"
"TRUE","Imp/repl spine stim lead","0393"
"TRUE","Removal spine stim lead","0394"
"TRUE","Spinal blood patch","0395"
"TRUE","Percutan facet denervat","0396"
"TRUE","Revise spine theca shunt","0397"
"TRUE","Remove spine theca shunt","0398"
"TRUE","Spine canal struc op NEC","0399"
"FALSE","PER NERV INCIS/DIV/EXCIS","040"
"TRUE","Excision acoustc neuroma","0401"
"TRUE","Trigeminal nerv division","0402"
"TRUE","Periph nerve div NEC","0403"
"TRUE","Periph nerve incis NEC","0404"
"TRUE","Gasserian ganglionectomy","0405"
"TRUE","Periph ganglionect NEC","0406"
"TRUE","Periph nerv excision NEC","0407"
"FALSE","PERIPH NERVE DX PROC","041"
"TRUE","Clos periph nerve biopsy","0411"
"TRUE","Open periph nerve biopsy","0412"
"TRUE","Periph nerve dx proc NEC","0419"
"TRUE","Periph nerve destruction","042"
"TRUE","Peripheral nerve suture","043"
"FALSE","PERIPH NERV ADHESIOLYSIS","044"
"TRUE","Decompress trigem root","0441"
"TRUE","Cranial nerv decom NEC","0442"
"TRUE","Carpal tunnel release","0443"
"TRUE","Tarsal tunnel release","0444"
"TRUE","Per nerve adhesiolys NEC","0449"
"TRUE","Peripheral nerve graft","045"
"TRUE","Periph nerve transposit","046"
"FALSE","OTHER PERIPH NEUROPLASTY","047"
"TRUE","Hypogloss-facial anastom","0471"
"TRUE","Accessory-facial anastom","0472"
"TRUE","Access-hypogloss anastom","0473"
"TRUE","Periph nerv anastom NEC","0474"
"TRUE","Postop revis per nerv op","0475"
"TRUE","Late repair per nerv inj","0476"
"TRUE","Other neuroplasty","0479"
"FALSE","PERIPHERAL NERVE INJECT","048"
"TRUE","Periph nerve inject NOS","0480"
"TRUE","Anesth injec periph nerv","0481"
"TRUE","Periph nerve inject NEC","0489"
"FALSE","OTH PERIPHERAL NERVE OP","049"
"TRUE","Neurectasis","0491"
"TRUE","Imp/repl peri stim lead","0492"
"TRUE","Removal peri stim lead","0493"
"TRUE","Peripheral nerve ops NEC","0499"
"TRUE","Sympath nerve division","050"
"FALSE","SYMPATH NERVE DX PROC","051"
"TRUE","Sympathetic nerve biopsy","0511"
"TRUE","Sympath nrv dx proc NEC","0519"
"FALSE","SYMPATHECTOMY","052"
"TRUE","Sphenopalatin ganglionec","0521"
"TRUE","Cervical sympathectomy","0522"
"TRUE","Lumbar sympathectomy","0523"
"TRUE","Presacral sympathectomy","0524"
"TRUE","Periart sympathectomy","0525"
"TRUE","Other sympathectomy","0529"
"FALSE","SYMPATH NERVE INJECTION","053"
"TRUE","Anesth inject symp nerve","0531"
"TRUE","Neurolyt injec-symp nrv","0532"
"TRUE","Sympath nerve inject NEC","0539"
"FALSE","OTH SYMPATHETIC NERVE OP","058"
"TRUE","Sympathetic nerve repair","0581"
"TRUE","Sympathetic nerve op NEC","0589"
"TRUE","Other nervous system ops","059"
"FALSE","THYROID FIELD INCISION","060"
"TRUE","Thyroid field aspiration","0601"
"TRUE","Reopen thyroid field wnd","0602"
"TRUE","Incis thyroid field NEC","0609"
"FALSE","THYROID/PARATHY DX PROC","061"
"TRUE","Closed thyroid gland bx","0611"
"TRUE","Open thyroid gland bx","0612"
"TRUE","Parathyroid biopsy","0613"
"TRUE","Thyr/parathy dx proc NEC","0619"
"TRUE","Unilat thyroid lobectomy","062"
"FALSE","OTHER PART THYROIDECTOMY","063"
"TRUE","Excision thyroid lesion","0631"
"TRUE","Part thyroidectomy NEC","0639"
"TRUE","Complete thyroidectomy","064"
"FALSE","SUBSTERNAL THYROIDECTOMY","065"
"TRUE","Substern thyroidect NOS","0650"
"TRUE","Part substern thyroidect","0651"
"TRUE","Tot substern thyroidect","0652"
"TRUE","Lingual thyroid excision","066"
"TRUE","Thyrogloss duct excision","067"
"FALSE","PARATHYROIDECTOMY","068"
"TRUE","Total parathyroidectomy","0681"
"TRUE","Other parathyroidectomy","0689"
"FALSE","THYROID/PARATHY OP NEC","069"
"TRUE","Thyroid isthmus division","0691"
"TRUE","Thyroid vessel ligation","0692"
"TRUE","Thyroid suture","0693"
"TRUE","Thyroid reimplantation","0694"
"TRUE","Parathyroid reimplant","0695"
"TRUE","Other thyroid operations","0698"
"TRUE","Other parathyroid ops","0699"
"FALSE","ADRENAL FIELD EXPLOR","070"
"TRUE","Adrenal exploration NOS","0700"
"TRUE","Unilat adrenal explorat","0701"
"TRUE","Bilat adrenal explorat","0702"
"FALSE","OTHER ENDOCRINE DX PROCS","071"
"TRUE","Closed adrenal gland bx","0711"
"TRUE","Open adrenal gland bx","0712"
"TRUE","Transfront pituitary bx","0713"
"TRUE","Transphen pituitary bx","0714"
"TRUE","Pituitary biopsy NOS","0715"
"TRUE","Thymus biopsy","0716"
"TRUE","Pineal biopsy","0717"
"TRUE","Endocrine dx proc NEC","0719"
"FALSE","PARTIAL ADRENALECTOMY","072"
"TRUE","Adrenal lesion excision","0721"
"TRUE","Unilateral adrenalectomy","0722"
"TRUE","Part adrenalectomy NEC","0729"
"TRUE","Bilateral adrenalectomy","073"
"FALSE","OTHER ADRENAL OPERATIONS","074"
"TRUE","Adrenal incision","0741"
"TRUE","Adrenal nerve division","0742"
"TRUE","Adrenal vessel ligation","0743"
"TRUE","Adrenal repair","0744"
"TRUE","Adrenal reimplantation","0745"
"TRUE","Adrenal operation NEC","0749"
"FALSE","PINEAL GLAND OPERATIONS","075"
"TRUE","Pineal field exploration","0751"
"TRUE","Pineal gland incision","0752"
"TRUE","Partial pinealectomy","0753"
"TRUE","Total pinealectomy","0754"
"TRUE","Pineal operation NEC","0759"
"FALSE","HYPOPHYSECTOMY","076"
"TRUE","Exc pituit les-transfron","0761"
"TRUE","Exc pituit les-transphen","0762"
"TRUE","Part excis pituitary NOS","0763"
"TRUE","Tot exc pituit-transfron","0764"
"TRUE","Tot exc pituit-transphen","0765"
"TRUE","Total exc pituitary NEC","0768"
"TRUE","Total exc pituitary NOS","0769"
