"CODE","DESC","PDC","CODE1","DESC1","CODE2","DESC2"
"C4445","3844 & 3845",,"3844","Resect abdm aorta w repl","3845","Resect thorac ves w repl"
"C7080","3770 & 3780",,"3770","Int insert pacemak lead","3780","Int or repl perm pacemkr"
"C7081","3770 & 3781",,"3770","Int insert pacemak lead","3781","Int insert 1-cham, non"
"C7082","3770 & 3782",,"3770","Int insert pacemak lead","3782","Int insert 1-cham, rate"
"C7085","3770 & 3785",,"3770","Int insert pacemak lead","3785","Repl pacem w 1-cham, non"
"C7086","3770 & 3786",,"3770","Int insert pacemak lead","3786","Repl pacem 1-cham, rate"
"C7087","3770 & 3787",,"3770","Int insert pacemak lead","3787","Repl pacem w dual-cham"
"C7180","3771 & 3780",,"3771","Int insert lead in vent","3780","Int or repl perm pacemkr"
"C7181","3771 & 3781",,"3771","Int insert lead in vent","3781","Int insert 1-cham, non"
"C7182","3771 & 3782",,"3771","Int insert lead in vent","3782","Int insert 1-cham, rate"
"C7185","3771 & 3785",,"3771","Int insert lead in vent","3785","Repl pacem w 1-cham, non"
"C7186","3771 & 3786",,"3771","Int insert lead in vent","3786","Repl pacem 1-cham, rate"
"C7187","3771 & 3787",,"3771","Int insert lead in vent","3787","Repl pacem w dual-cham"
"C7280","3772 & 3780",,"3772","Int insert lead atri-vent","3780","Int or repl perm pacemkr"
"C7283","3772 & 3783",,"3772","Int insert lead atri-vent","3783","Int insert dual-cham dev"
"C7380","3773 & 3780",,"3773","Int insert lead in atrium","3780","Int or repl perm pacemkr"
"C7381","3773 & 3781",,"3773","Int insert lead in atrium","3781","Int insert 1-cham, non"
"C7382","3773 & 3782",,"3773","Int insert lead in atrium","3782","Int insert 1-cham, rate"
"C7385","3773 & 3785",,"3773","Int insert lead in atrium","3785","Repl pacem w 1-cham, non"
"C7386","3773 & 3786",,"3773","Int insert lead in atrium","3786","Repl pacem 1-cham, rate"
"C7387","3773 & 3787",,"3773","Int insert lead in atrium","3787","Repl pacem w dual-cham"
"C7480","3774 & 3780",,"3774","Int or repl lead epicar","3780","Int or repl perm pacemkr"
"C7481","3774 & 3781",,"3774","Int or repl lead epicar","3781","Int insert 1-cham, non"
"C7482","3774 & 3782",,"3774","Int or repl lead epicar","3782","Int insert 1-cham, rate"
"C7483","3774 & 3783",,"3774","Int or repl lead epicar","3783","Int insert dual-cham dev"
"C7485","3774 & 3785",,"3774","Int or repl lead epicar","3785","Repl pacem w 1-cham, non"
"C7486","3774 & 3786",,"3774","Int or repl lead epicar","3786","Repl pacem 1-cham, rate"
"C7487","3774 & 3787",,"3774","Int or repl lead epicar","3787","Repl pacem w dual-cham"
"C7680","3776 & 3780",,"3776","Repl tv atri-vent lead","3780","Int or repl perm pacemkr"
"C7685","3776 & 3785",,"3776","Repl tv atri-vent lead","3785","Repl pacem w 1-cham, non"
"C7686","3776 & 3786",,"3776","Repl tv atri-vent lead","3786","Repl pacem 1-cham, rate"
"C7687","3776 & 3787",,"3776","Repl tv atri-vent lead","3787","Repl pacem w dual-cham"
"C9596","3795 & 3796",,"3795","Implt cardiodefib leads","3796","Implt cardiodefib genatr"
"C9798","3797 & 3798",,"3797","Repl cardiodefib leads","3798","Repl cardiodefib genratr"
"CE001","1311 & 1341",,"1311","Temp-inf intrcap lens ex","1341","Catarac phacoemuls/aspir"
"CE002","132 & 1341",,"132","Linear extracap lens ext","1341","Catarac phacoemuls/aspir"
"CE003","132 & 1342",,"132","Linear extracap lens ext","1342","Post catarac frag/aspir"
"CE004","133 & 1341",,"133","Simpl aspir lens extract","1341","Catarac phacoemuls/aspir"
"CE005","133 & 1342",,"133","Simpl aspir lens extract","1342","Post catarac frag/aspir"
"CE006","133 & 1343",,"133","Simpl aspir lens extract","1343","Cataract frag/aspir NEC"
"CE007","1341 & 1351",,"1341","Catarac phacoemuls/aspir","1351","Temp-inf xtracap lens ex"
"CE008","1341 & 1364",,"1341","Catarac phacoemuls/aspir","1364","After-catar discission"
"CE009","1342 & 1351",,"1342","Post catarac frag/aspir","1351","Temp-inf xtracap lens ex"
"CE010","1343 & 1351",,"1343","Cataract frag/aspir NEC","1351","Temp-inf xtracap lens ex"
"CE011","1341 & 1342",,"1341","Catarac phacoemuls/aspir","1342","Post catarac frag/aspir"
"CE012","1341 & 1343",,"1341","Catarac phacoemuls/aspir","1343","Cataract frag/aspir NEC"
"CE013","1341 & 1372",,"1341","Catarac phacoemuls/aspir","1372","Secondary insert lens"
"CE014","1341 & 138",,"1341","Catarac phacoemuls/aspir","138","Implanted lens removal"
"CE015","1311 & 1319",,"1311","Temp-inf intrcap lens ex","1319","Intracapsul lens ext NEC"
"CE016","1311 & 132",,"1311","Temp-inf intrcap lens ex","132","Linear extracap lens ext"
"CE017","1311 & 133",,"1311","Temp-inf intrcap lens ex","133","Simpl aspir lens extract"
"CE018","132 & 133",,"132","Linear extracap lens ext","133","Simpl aspir lens extract"
"CE019","1311 & 1351",,"1311","Temp-inf intrcap lens ex","1351","Temp-inf xtracap lens ex"
"CE020","132 & 1351",,"132","Linear extracap lens ext","1351","Temp-inf xtracap lens ex"
"CE021","133 & 1351",,"133","Simpl aspir lens extract","1351","Temp-inf xtracap lens ex"
"CK001","3511 & 3512",,"3511","Opn aortic valvuloplasty","3512","Opn mitral valvuloplasty"
"CK002","3511 & 3523",,"3511","Opn aortic valvuloplasty","3523","Replace mitr valv-tissue"
"CK003","3511 & 3524",,"3511","Opn aortic valvuloplasty","3524","Replace mitral valve NEC"
"CK004","3511 & 3514",,"3511","Opn aortic valvuloplasty","3514","Opn tricus valvuloplasty"
"CK005","3511 & 3527",,"3511","Opn aortic valvuloplasty","3527","Replace tric valv-tissue"
"CK006","3512 & 3528",,"3512","Opn aortic valvuloplasty","3528","Replace tricusp valv NEC"
"CK007","3512 & 3514",,"3512","Opn mitral valvuloplasty","3514","Opn tricus valvuloplasty"
"CK008","3512 & 3521",,"3512","Opn mitral valvuloplasty","3521","Replace aort valv-tissue"
"CK009","3512 & 3522",,"3512","Opn mitral valvuloplasty","3522","Replace aortic valve NEC"
"CK010","3512 & 3527",,"3512","Opn mitral valvuloplasty","3527","Replace tric valv-tissue"
"CK011","3512 & 3528",,"3512","Opn mitral valvuloplasty","3528","Replace tricusp valv NEC"
"CK012","3514 & 3521",,"3514","Opn tricus valvuloplasty","3521","Replace aort valv-tissue"
"CK013","3514 & 3522",,"3514","Opn tricus valvuloplasty","3522","Replace aortic valve NEC"
"CK014","3514 & 3523",,"3514","Opn tricus valvuloplasty","3523","Replace mitr valv-tissue"
"CK015","3514 & 3524",,"3514","Opn tricus valvuloplasty","3524","Replace mitral valve NEC"
