"MDC","PDC","CTYPE","HIERAR","CNAME"
"01","1A","D",,"Spinal disorders and injuries"
"01","1B","D",,"Cerebral palsy"
"01","1C","D",,"Nervous system neoplasms"
"01","1D","D",,"Degenerative  nervous system disorders"
"01","1E","D",,"Multiple sclerosis and cerebellar ataxia"
"01","1F","D",,"Specific cerebrovascular disorders exc TIA"
"01","1G","D",,"TIA and precerebral occlusions"
"01","1H","D",,"Nonspecific cerebrovascular disorders"
"01","1J","D",,"Cranial and peripheral nerve disorders"
"01","1K","D",,"Nervous syst infection exc viral meningitis"
"01","1L","D",,"Viral meningitis"
"01","1M","D",,"Nontraumatic stupor and coma"
"01","1N","D",,"Febrile convulsions"
"01","1P","D",,"Seizure disorders"
"01","1Q","D",,"Headache"
"01","1R","D",,"Intracranial injury"
"01","1S","D",,"Skull fractures"
"01","1T","D",,"Other head injury"
"01","1U","D",,"Other disorders of nervous system"
"01","1V","D",,"Guillain-Barre syndrome"
"01","1PA","P","12","Ventricular shunt revision"
"01","1PB","P","05","Craniotomy"
"01","1PC","P","04","Spinal procedures"
"01","1PD","P","11","Extracranial vascular procedures"
"01","1PE","P","16","Carpal tunnel release"
"01","1PF","P","13","Peripheral & cranial nerve & other NS proc"
"01","1PG","P","14","Proc comb in Peripheral& CN & other  NS proc"
"01","1PH","P","03","Open intracranial vascular procedures"
"01","1PJ","P","10","Endovascular procedures for intracranial lesions"
"01","1PK","P","01","Multiple craniotomy"
"01","1PL","P","02","Therapeu plasmapheresis"
"02","2A","D",,"Acute and Major Eye Infections"
"02","2B","D",,"Neurological and Vasc Disor of the Eye"
"02","2C","D",,"Hyphema and Trauma"
"02","2D","D",,"Other Disorders of the Eye"
"02","2E","D",,"Malignant neoplasm of eye"
"02","2PA","P","01","Retinal Procedures"
"02","2PB","P","04","Enucleation and orbital proc"
"02","2PD","P","15","Intraocular proc except lens & retina"
"02","2PE","P","13","Major Lens Procedures"
"02","2PF","P","16","Other Lens Procedures"
"02","2PG","P","17","Other Eye Procedures"
"02","2PH","P","03","Other mechanical vitrectomy"
"02","2PJ","P","02","Keratoplasty"
"02","2PK","P","11","Multiple major lens procedures"
"02","2PL","P","12","Multiple other lens procedures"
"02","2PM","P","14","Major proc for lacrimal system"
"03","3A","D",,"Ear,Nose, Mouth and Throat Malignancy"
"03","3B","D",,"Dysequilibrium"
"03","3C","D",,"Epistaxis"
"03","3D","D",,"Otitis Media and URI"
"03","3E","D",,"Epiglottitis and cellulitis of face & neck"
"03","3F","D",,"Nasal Trauma and Deformity"
"03","3G","D",,"Other Ear, Nose, Mouth and Throat Diagnoses"
"03","3H","D",,"Dental & Oral Disorders"
"03","3PA","P","02","Major head and neck procedures"
"03","3PB","P","14","Cleft Lip and Palate Repair"
"03","3PC","P","04","Maxillo surgery"
"03","3PD","P","07","Salivary procedures"
"03","3PE","P","11","Minor nose and sinus procedures"
"03","3PG","P","20","Mouth procedures"
"03","3PH","P","15","Miscelaneous Ear, Nose, Mouth and Throat Procedures"
