"CODE","ORP","ORPTYPE","SEX","SITE","PROCGR","PCPART","EXTLEV","DESC","DRGUSE","MAYUN"
"0001","N","U","B","-","0","0","0","Ther ult head & neck ves","FALSE",
"0002","N","U","B","-","0","0","0","Ther ultrasound of heart","FALSE",
"0003","N","U","B","-","0","0","0","Ther ult peripheral ves","FALSE",
"0009","N","U","B","-","0","0","0","Other therapeutic ultsnd","FALSE",
"0010","N","U","B","-","0","0","0","Implant chemothera agent","FALSE",
"0011","N","U","B","-","0","0","0","Infus drotrecogin alfa","FALSE",
"0012","N","U","B","-","0","0","0","Adm inhal nitric oxide","FALSE",
"0013","N","U","B","-","0","0","0","Inject/infus nesiritide","FALSE",
"0014","N","U","B","-","0","0","0","Injection oxazolidinone","FALSE",
"0015","N","U","B","-","0","0","0","High-dose infusion il-2","FALSE",
"0016","N","U","B","-","0","0","0","Pressurized treat graft","FALSE",
"0017","N","U","B","-","0","0","0","Infusion of vasopressor","FALSE",
"0018","N",,"B","-","0","0","0","INFUS IMMUNOSUP ANTIBODY","FALSE",
"0019","P","U","B","-","0","0","0","BBBD via infusion","FALSE",
"0021","N","U","B","-","0","0","0","Ivus extracran cereb ves","FALSE",
"0022","N","U","B","-","0","0","0","Ivus intrathoracic ves","FALSE",
"0023","N","U","B","-","0","0","0","Ivus peripheral vessels","FALSE",
"0024","N","U","B","-","0","0","0","Ivus coronary vessels","FALSE",
"0025","N","U","B","-","0","0","0","Ivus renal vessels","FALSE",
"0028","N","U","B","-","0","0","0","Intravascul imaging NEC","FALSE",
"0029","N","U","B","-","0","0","0","Intravascul imaging NOS","FALSE",
"0031","N","U","B","-","0","0","0","CAS w CT/CTA","FALSE",
"0032","N","U","B","-","0","0","0","CAS w MR/MRA","FALSE",
"0033","N","U","B","-","0","0","0","CAS w fluoroscopy","FALSE",
"0034","N","U","B","-","0","0","0","Imageless comp asst surg","FALSE",
"0035","N","U","B","-","0","0","0","CAS w multiple datasets","FALSE",
"0039","N","U","B","-","0","0","0","Other CAS","FALSE",
