"CODE","MDC","PDC"
"0112","01","1PB"
"0114","01","1PB"
"0115","01","1PB"
"0118","01","1PB"
"0119","01","1PB"
"0121","01","1PB"
"0122","01","1PB"
"0123","01","1PB"
"0124","01","1PB"
"0125","01","1PB"
"0131","01","1PB"
"0132","01","1PB"
"0139","01","1PB"
"0141","01","1PB"
"0142","01","1PB"
"0151","01","1PB"
"0152","01","1PB"
"0153","01","1PB"
"0159","01","1PB"
"016","01","1PB"
"0201","01","1PB"
"0202","01","1PB"
"0203","01","1PB"
"0204","01","1PB"
"0205","01","1PB"
"0206","01","1PB"
"0207","01","1PB"
"0211","01","1PB"
"0212","01","1PB"
"0214","01","1PB"
"022","01","1PB"
"0231","01","1PB"
"0232","01","1PB"
"0233","01","1PB"
"0234","01","1PB"
"0235","01","1PB"
"0239","01","1PB"
"0242","01","1PA"
"0243","01","1PA"
"0291","01","1PB"
"0292","01","1PB"
"0293","01","1PB"
"0294","01","1PB"
"0299","01","1PB"
"0301","01","1PC"
"0302","01","1PC"
"0309","01","1PC"
"031","01","1PC"
"0321","01","1PC"
"0329","01","1PC"
"0332","01","1PC"
"0339","01","1PC"
"034","01","1PC"
"0351","01","1PC"
"0352","01","1PC"
"0353","01","1PC"
"0359","01","1PC"
"036","01","1PC"
"0371","01","1PC"
"0372","01","1PC"
"0379","01","1PC"
"0393","01","1PC"
"0394","01","1PC"
"0397","01","1PC"
"0398","01","1PC"
"0399","01","1PC"
"0401","01","1PB"
"0441","01","1PB"
"0443","01","1PE"
"0713","01","1PB"
"0714","01","1PB"
"0715","01","1PB"
"0717","01","1PB"
"0751","01","1PB"
"0752","01","1PB"
"0753","01","1PB"
"0754","01","1PB"
"0759","01","1PB"
"0761","01","1PB"
"0762","01","1PB"
"0763","01","1PB"
"0764","01","1PB"
"0765","01","1PB"
"0768","01","1PB"
"0769","01","1PB"
"0771","01","1PB"
"0772","01","1PB"
"0779","01","1PB"
"2992","01","1PB"
"3810","01","1PD"
"3812","01","1PD"
"3832","01","1PD"
"3862","01","1PD"
"3922","01","1PD"
"3929","01","1PD"
"3930","01","1PD"
"3931","01","1PD"
"3932","01","1PD"
"3950","01","1PD"
"3956","01","1PD"
"3957","01","1PD"
"3958","01","1PD"
"3959","01","1PD"
"398","01","1PD"
"3992","01","1PD"
"7781","01","1PC"
"7791","01","1PC"
"8050","01","1PC"
"8051","01","1PC"
"8059","01","1PC"
"8100","01","1PC"
"8101","01","1PC"
"8102","01","1PC"
"8103","01","1PC"
"8104","01","1PC"
"8105","01","1PC"
"8106","01","1PC"
"8107","01","1PC"
"8108","01","1PC"
"C7080","01","1PG"
"C7081","01","1PG"
"C7082","01","1PG"
"C7085","01","1PG"
"C7086","01","1PG"
"C7087","01","1PG"
"C7180","01","1PG"
"C7181","01","1PG"
"C7182","01","1PG"
"C7185","01","1PG"
"C7186","01","1PG"
"C7187","01","1PG"
"C7280","01","1PG"
"C7283","01","1PG"
"C7380","01","1PG"
"C7381","01","1PG"
"C7382","01","1PG"
"C7385","01","1PG"
"C7386","01","1PG"
"C7387","01","1PG"
"C7480","01","1PG"
"C7481","01","1PG"
"C7482","01","1PG"
"C7483","01","1PG"
"C7485","01","1PG"
"C7486","01","1PG"
"C7487","01","1PG"
"C7680","01","1PG"
"C7685","01","1PG"
"C7686","01","1PG"
"C7687","01","1PG"
"0213","01","1PH"
"3801","01","1PH"
"3811","01","1PH"
"3831","01","1PH"
"3841","01","1PH"
"3851","01","1PH"
"3861","01","1PH"
"3881","01","1PH"
"3928","01","1PH"
"3951","01","1PH"
"3952","01","1PH"
"3953","01","1PH"
"5495","01","1PA"
"0061","01","1PD"
"8130","01","1PC"
"8131","01","1PC"
"8132","01","1PC"
"8133","01","1PC"
"8134","01","1PC"
"8135","01","1PC"
"8136","01","1PC"
"8137","01","1PC"
"8138","01","1PC"
"8139","01","1PC"
"8161","01","1PC"
"8459","01","1PC"
"8460","01","1PC"
"8461","01","1PC"
"8462","01","1PC"
"8463","01","1PC"
"8464","01","1PC"
"8465","01","1PC"
"8466","01","1PC"
"8467","01","1PC"
"8468","01","1PC"
"8469","01","1PC"
"0062","01","1PJ"
"3972","01","1PJ"
"0112>1","01","1PK"
"0114>1","01","1PK"
"0115>1","01","1PK"
"0118>1","01","1PK"
"0119>1","01","1PK"
"0121>1","01","1PK"
"0122>1","01","1PK"
"0123>1","01","1PK"
"0124>1","01","1PK"
"0125>1","01","1PK"
"0131>1","01","1PK"
"0132>1","01","1PK"
"0139>1","01","1PK"
"0141>1","01","1PK"
"0142>1","01","1PK"
"0151>1","01","1PK"
"0152>1","01","1PK"
"0153>1","01","1PK"
"0159>1","01","1PK"
"016>1","01","1PK"
"0201>1","01","1PK"
"0202>1","01","1PK"
"0203>1","01","1PK"
"0204>1","01","1PK"
"0205>1","01","1PK"
"0206>1","01","1PK"
"0207>1","01","1PK"
"0211>1","01","1PK"
"0212>1","01","1PK"
"0214>1","01","1PK"
"022>1","01","1PK"
"0231>1","01","1PK"
"0232>1","01","1PK"
"0233>1","01","1PK"
"0234>1","01","1PK"
"0235>1","01","1PK"
"0239>1","01","1PK"
"0291>1","01","1PK"
"0292>1","01","1PK"
"0293>1","01","1PK"
"0294>1","01","1PK"
"0299>1","01","1PK"
"0401>1","01","1PK"
"0441>1","01","1PK"
"0713>1","01","1PK"
"0714>1","01","1PK"
"0715>1","01","1PK"
"0717>1","01","1PK"
"0751>1","01","1PK"
"0752>1","01","1PK"
"0753>1","01","1PK"
"0754>1","01","1PK"
"0759>1","01","1PK"
"0761>1","01","1PK"
"0762>1","01","1PK"
"0763>1","01","1PK"
"0764>1","01","1PK"
"0765>1","01","1PK"
"0768>1","01","1PK"
"0769>1","01","1PK"
"0771>1","01","1PK"
"0772>1","01","1PK"
"0779>1","01","1PK"
"2992>1","01","1PK"
"3974","01","1PJ"
"0128","01","1PB"
"8458","01","1PC"
"0402","01","1PF"
"0403","01","1PF"
"0404","01","1PF"
"0405","01","1PF"
"0406","01","1PF"
"0407","01","1PF"
"0412","01","1PF"
"0419","01","1PF"
"043","01","1PF"
"0442","01","1PF"
"0444","01","1PF"
"0449","01","1PF"
"045","01","1PF"
"046","01","1PF"
"0471","01","1PF"
"0472","01","1PF"
"0473","01","1PF"
"0474","01","1PF"
"0475","01","1PF"
"0476","01","1PF"
"0479","01","1PF"
"0491","01","1PF"
"0492","01","1PF"
"0493","01","1PF"
"0499","01","1PF"
"050","01","1PF"
"0511","01","1PF"
"0519","01","1PF"
"0521","01","1PF"
"0522","01","1PF"
"0523","01","1PF"
"0524","01","1PF"
"0525","01","1PF"
"0529","01","1PF"
"0581","01","1PF"
"0589","01","1PF"
"059","01","1PF"
"0719","01","1PF"
"0780","01","1PF"
"0781","01","1PF"
"0782","01","1PF"
"0851","01","1PF"
"0852","01","1PF"
"0859","01","1PF"
"2762","01","1PF"
"2769","01","1PF"
"294","01","1PF"
"2959","01","1PF"
"3774","01","1PF"
"3775","01","1PF"
"3776","01","1PF"
"3777","01","1PF"
"3779","01","1PF"
"3780","01","1PF"
"3785","01","1PF"
"3786","01","1PF"
"3787","01","1PF"
"3789","01","1PF"
"3802","01","1PF"
"3821","01","1PF"
"3842","01","1PF"
"387","01","1PF"
"3882","01","1PF"
"4011","01","1PF"
"4400","01","1PF"
"8171","01","1PF"
"8172","01","1PF"
"8174","01","1PF"
"8175","01","1PF"
"8179","01","1PF"
"8251","01","1PF"
"8252","01","1PF"
"8253","01","1PF"
"8254","01","1PF"
"8255","01","1PF"
"8256","01","1PF"
"8257","01","1PF"
"8258","01","1PF"
"8259","01","1PF"
"8261","01","1PF"
"8269","01","1PF"
"8271","01","1PF"
"8272","01","1PF"
"8279","01","1PF"
"8281","01","1PF"
"8282","01","1PF"
"8283","01","1PF"
"8284","01","1PF"
"8285","01","1PF"
"8286","01","1PF"
"8289","01","1PF"
"8313","01","1PF"
"8314","01","1PF"
"8319","01","1PF"
"8321","01","1PF"
"8341","01","1PF"
"8343","01","1PF"
"8345","01","1PF"
"8349","01","1PF"
"8371","01","1PF"
"8372","01","1PF"
"8373","01","1PF"
"8374","01","1PF"
"8375","01","1PF"
"8376","01","1PF"
"8377","01","1PF"
"8379","01","1PF"
"8381","01","1PF"
"8382","01","1PF"
"8383","01","1PF"
"8385","01","1PF"
"8387","01","1PF"
"8388","01","1PF"
"8389","01","1PF"
"8392","01","1PF"
"8393","01","1PF"
"8411","01","1PF"
"8412","01","1PF"
"8413","01","1PF"
"8414","01","1PF"
"8415","01","1PF"
"8416","01","1PF"
"8417","01","1PF"
"8606","01","1PF"
"8622","01","1PF"
"864","01","1PF"
"8660","01","1PF"
"8661","01","1PF"
"8662","01","1PF"
"8663","01","1PF"
"8665","01","1PF"
"8666","01","1PF"
"8667","01","1PF"
"8669","01","1PF"
"8670","01","1PF"
"8671","01","1PF"
"8672","01","1PF"
"8674","01","1PF"
"8675","01","1PF"
"8681","01","1PF"
"8691","01","1PF"
"8693","01","1PF"
"9227","01","1PF"
"9230","01","1PF"
"9231","01","1PF"
"9232","01","1PF"
"9233","01","1PF"
"9239","01","1PF"
"7670","01","1PF"
"7672","01","1PF"
"7674","01","1PF"
"7676","01","1PF"
"7677","01","1PF"
"7679","01","1PF"
"8694","01","1PF"
"8695","01","1PF"
"8696","01","1PF"
"9971","01","1PL"
"0110","01","1PB"
"0116","01","1PB"
"0117","01","1PB"
"0783","01","1PF"
"0784","01","1PF"
"1761","01","1PB"
"1762","01","1PB"
"3975","01","1PJ"
"3976","01","1PJ"
"8053","01","1PC"
"8054","01","1PC"
"8480","01","1PC"
"8482","01","1PC"
"8484","01","1PC"
"4319","01","1PF"
"0811","02","2PG"
"0820","02","2PG"
"0821","02","2PG"
"0822","02","2PG"
"0823","02","2PG"
"0824","02","2PG"
"0825","02","2PG"
"0831","02","2PG"
"0832","02","2PG"
"0833","02","2PG"
"0834","02","2PG"
"0835","02","2PG"
"0836","02","2PG"
"0837","02","2PG"
"0838","02","2PG"
"0841","02","2PG"
"0842","02","2PG"
"0843","02","2PG"
"0844","02","2PB"
"0849","02","2PG"
"0851","02","2PG"
"0852","02","2PG"
"0859","02","2PG"
"0861","02","2PG"
"0862","02","2PG"
"0863","02","2PG"
"0864","02","2PG"
"0869","02","2PG"
"0870","02","2PG"
"0871","02","2PG"
"0872","02","2PG"
"0873","02","2PG"
"0874","02","2PG"
"0881","02","2PG"
"0882","02","2PG"
"0883","02","2PG"
"0884","02","2PG"
"0885","02","2PG"
"0886","02","2PG"
