Variable,Value
year,2018
n_total,11023
n_age_consistent,10658
percent_age_consistent,96.69
n_date_adm_orig_present,11023
percent_date_adm_orig_present,100
n_date_dis_orig_present,11023
percent_date_dis_orig_present,100
n_date_rec_orig_present,11023
percent_date_rec_orig_present,100
n_date_ref_orig_present,1229
percent_date_ref_orig_present,11.15
n_date_check_orig_present,11021
percent_date_check_orig_present,99.98
n_pat_bdate_orig_present,7961
percent_pat_bdate_orig_present,72.22
n_date_ext_orig_present,11023
percent_date_ext_orig_present,100
n_time_adm_orig_present,11023
percent_time_adm_orig_present,100
n_time_dis_orig_present,11023
percent_time_dis_orig_present,100
n_icd_present,10110
percent_icd_present,91.72
n_rvs_present,4282
percent_rvs_present,38.85
