Variable,Value
year,2022
n_total,4890244
n_age_consistent,4890244
percent_age_consistent,100
n_date_adm_orig_present,4890244
percent_date_adm_orig_present,100
n_date_dis_orig_present,4890244
percent_date_dis_orig_present,100
n_date_rec_orig_present,4890244
percent_date_rec_orig_present,100
n_date_ref_orig_present,352523
percent_date_ref_orig_present,7.21
n_date_check_orig_present,4889761
percent_date_check_orig_present,99.99
n_pat_bdate_orig_present,0
percent_pat_bdate_orig_present,0
n_date_ext_orig_present,4890244
percent_date_ext_orig_present,100
n_time_adm_orig_present,4890244
percent_time_adm_orig_present,100
n_time_dis_orig_present,4890244
percent_time_dis_orig_present,100
n_icd_present,4850039
percent_icd_present,99.18
n_rvs_present,2477534
percent_rvs_present,50.66
