raw_code,mapped_code
N390,N390
J1892,J189
A970,_
O233,O233
J960,J960
N309,N309
A971,_
N185,N185
A099,A099
I500,I500
N709,N709
E871,E871
H252,H252
E141,E141
J069,J069
B441J172,_
J1893,J189
P028,P028
G629,G629
A972,_
J1802,J180
J939,J939
C61,C61
K273,K273
R560,R560
C541,C541
I101,I10
R570,R570
S099,S099
K291,K291
L031,L031
J4590,J459
H2591,H259
D131,D131
O200,O200
O701,O701
O429,O429
O800,O800
Z370,Z370
Z380,Z380
L024,L024
I248,I248
A162,A162
E119,E119
Z392,Z392
N201,N201
E790,E790
E041,E041
O620,O620
O829,O829
I48,I48
I990,I99
D500,D500
N170,N170
E861,E86
K811,K811
K028,K028
H352,H352
B209,B209
M8500,M8500
C509,C509
B441,B441
J172,J172
N039,N039
N189,N189
I100,I10
I129,I129
Z491,Z491
H001,H001
N139,N139
K635,K635
K64,_
A150,A150
Z001,Z001
O809,O809
O702,O702
N178,N178
A419,A419
K765,K765
K297,K297
O244,O244
O324,O324
