raw_code,mapped_code
K580,K580
J1892,J189
G473,G473
S0690,S0690
I101,I10
A099,A099
K291,K291
R570,R570
N939,N939
N10,N10
B349,B349
T784,T784
J1893,J189
J069,J069
N390,N390
S0621,S0621
A010,A010
A971,_
K567,K567
E861,E86
O210,O210
N179,N179
E876,E876
N19,N19
J1592,J159
J4590,J459
J4500,J450
K590,K590
A970,_
I499,I499
E108,E108
J441,J441
K250,K250
K800,K800
A090,A090
L039,L039
N189,N189
J36,J36
K122,K122
I639,I639
H811,H811
I210,I210
I500,I500
O200,O200
B09,B09
J449,J449
L031,L031
J46,J46
S0630,S0630
P039,P039
D649,D649
I200,I200
J989,J989
K270,K270
C859,C859
O995,O995
J440,J440
J110,J110
E116,E116
E878,E878
J111,J111
E862,E86
K566,K566
I420,I420
L038,L038
K292,K292
K297,K297
N185,N185
A062,A062
I109,I10
E109,E109
J683,J683
I64,I64
A169,A169
S018,S018
R560,R560
K818,K818
J391,J391
I209,I209
T781,T781
I443,I443
J960,J960
A162,A162
M353,M353
G439,G439
I679G467,_
G934,G934
M0809,M0809
J90,J90
C220,C220
A060,A060
D329,D329
J209,J209
K30,K30
I609,I609
J690,J690
G402,G402
P128,P128
J068,J068
D65,D65
B948,B948
I459,I459
J039,J039
J969,J969
C910,C910
E119,E119
K273,K273
I119,I119
K259,K259
J682,J682
C760,C760
C349,C349
E162,E162
J81,J81
E106,E106
G621,G621
I259,I259
I214,I214
C762,C762
I638,I638
R568,R568
D691,D691
M512,M512
P240,P240
P073,P073
R42,R42
K299,K299
K279,K279
I219,I219
J929,J929
I48,I48
G629,G629
I494,I494
M940,M940
N300,N300
K746,K746
I279,I279
G952,G952
I678,I678
J981,J981
D391,D391
I674,I674
G933,G933
P025,P025
N049,N049
T300,T300
C030,C030
N201,N201
I213,I213
K904,K904
K219,K219
L032,L032
C73,C73
P599,P599
Q438,Q438
K659,K659
C719,C719
I099,I099
K047,K047
I510,I510
O600,O600
N831,N831
C793,C793
E871,E871
K579,K579
K760,K760
H46,H46
P593,P593
K801,K801
B059,B059
M6268,M6268
M159,M159
J1812,J181
D539,D539
J679,J679
K564,K564
A370,A370
E117,E117
K810,K810
D611,D611
I359,I359
A972,_
C795,C795
H603,H603
M628,M628
N61,N61
E288,E288
G723,G723
P551,P551
S0600,S0600
P031,P031
O440,O440
J208,J208
M6269,M6269
J849,J849
A156,A156
M1099,M1099
I098,I098
M0029,M0029
M7900,M7900
N40,N40
R579,R579
D440,D440
N308,N308
K572,K572
P393,P393
G441,G441
K274,K274
O009,O009
P239,P239
G309F009,_
K318,K318
I248,I248
C240,C240
T887,T887
A011,A011
I899,I899
A419,A419
B052J171,_
E050,E050
C20,C20
L033,L033
G934E90,_
S099,S099
99460,_
N200,N200
K729,K729
I250,I250
A150,A150
A029,A029
A020,A020
R509,R509
J448,J448
D728,D728
I693,I693
T519,T519
D509,D509
C780,C780
T921,T921
T009,T009
I880,I880
C900,C900
G443,G443
K759,K759
A160,A160
M7999,M7999
G809,G809
T758,T758
E781,E781
M7919,M7919
J40,J40
K863,K863
J118,J118
D638,D638
P012,P012
C180,C180
M1000,M1000
S913,S913
N739,N739
S0620,S0620
D693,D693
Z380,Z380
K210,K210
K802,K802
S008,S008
P394,P394
N289,N289
R290,R290
J668,J668
I608,I608
A279,A279
G450,G450
J1802,J180
J22,J22
P011,P011
D500,D500
S817,S817
C61,C61
S0240,S0240
I110,I110
C509,C509
G403,G403
G932,G932
L020,L020
M754,M754
G459,G459
K650,K650
I620,I620
E101,E101
B019,B019
A499,A499
J80,J80
G442,G442
G900,G900
O234,O234
E141,E141
K040,K040
J1292,J129
E441,E441
G910,G910
K719,K719
T006,T006
O230,O230
S390,S390
D560,D560
C189,C189
I614,I614
S0640,S0640
D751,D751
T391,T391
Q249,Q249
K529,K529
M7920,M7920
I619,I619
C912,C912
J204,J204
E147,E147
I260,I260
J988,J988
O233,O233
C341,C341
J841,J841
N139,N139
A061,A061
I633,I633
E115,E115
J1803,J180
P369,P369
N209,N209
F100,F100
P916,P916
O211,O211
A014,A014
L030,L030
M4792,M4792
E889,E889
E888,E888
T789,T789
A159,A159
M0096,M0096
M1399,M1399
A168,A168
D471,D471
O080,O080
K137,K137
K253,K253
J848,J848
O984,O984
J4510,J451
M0690,M0690
P051,P051
J050,J050
I059,I059
O141,O141
F064,F064
G931,G931
G432,G432
P038,P038
M532,M532
O809,O809
C119,C119
J101,J101
N009,N009
Y455,_
G409,G409
E46,E46
M6295,M6295
J961,J961
I409,I409
I341,I341
K290,K290
K915,K915
I471,I471
