raw_code,mapped_code
C19T3,_
99460,_
C19T1,_
90935,3995
NSD01,_
25110,8331
59409,7359
59409,7360
27606,8311
96408,9925
11043,8345
11043,8628
C19T2,_
66987,1341
66987,1371
44960,4709
31575,3142
MCP01,_
12002,8659
59513,7499
44150,4582
16010,4595
44150,4620
16010,8628
44150,9357
16010,4582
44150,4595
16010,4620
44150,8628
16010,9357
66821,1364
65782,1689
41825,2440
52500,5749
23657,3228
77418,_
45378,4525
45378,4685
11000,8628
45300,4824
47562,5123
14000,8689
66997,1266
99246,8909
99246,9059
47563,5123
47563,8753
59514,7499
C19X1,_
47600,5122
66984,1330
66984,1371
59812,6902
43235,4513
FP001,_
44345,4643
57454,6712
57454,7021
58120,6909
31231,2121
46270,4911
46270,4912
44320,4610
58300,6970
90375,_
12041,8659
57500,6712
11765,8623
43246,4311
44950,4709
C19X2,_
77761,_
58600,6639
33208,3772
33208,3780
41874,2450
90945,3995
90945,5498
50590,9851
11300,8609
45385,4523
45385,4542
45385,4543
21550,8321
26910,8401
26910,8403
56440,7123
49201,5440
59411,7252
36488,3893
59814,6959
47000,_
64722,449
77401,_
54161,6400
08003,_
70392,_
36825,3993
77261,_
C19X3,_
C19CI,_
27590,8417
28810,8411
12001,8659
66761,1212
40701,2754
29888,8145
46280,4911
46280,4912
46280,4993
C19IP2,_
58925,6529
12042,8659
58100,6711
58100,6813
26952,407
26952,8401
45380,4525
75757,9512
49507,5300
49507,5310
19100,8511
12013,8659
31525,3142
19120,8521
11042,8628
43234,4685
45378,4513
43234,4525
43234,4513
29065,9353
65426,1132
58150,6561
58150,6849
46255,4946
25611,7912
92981,3606
20670,7860
32405,3326
52332,5732
52332,5980
38220,4131
36430,9903
36430,9971
41800,2400
65222,9821
89221,8909
89221,9041
24586,7929
12032,8659
23480,7731
23480,7851
67800,821
21015,8339
76942,_
26591,8289
11011,8302
26591,8309
11011,8339
26591,8345
11011,8628
26591,9820
11011,8289
26591,8302
11011,8309
26591,8339
11011,8345
26591,8628
11011,9820
52000,5732
27603,7710
11044,8302
27603,7760
11044,8345
27603,8628
11044,7710
27603,8302
11044,7760
27603,8345
11044,8628
43830,4319
58260,6859
50320,5551
42825,2820
C19IP3,_
21556,8332
27759,7936
58720,6561
20680,294
20680,7860
20680,9788
19101,8511
50240,5540
50575,5521
50575,5620
50575,5631
50575,5732
50575,8773
50575,9645
50575,9649
43239,4514
27048,7769
24546,7842
24546,7931
ANC01,_
20600,8191
20600,8192
20600,8394
20600,8396
51065,5719
51065,5995
C19HI,_
68110,1031
C19FRP,_
75710,8848
75710,8849
36450,9901
61510,124
61510,125
27750,7906
29345,9353
P0000,_
26720,7904
15732,8332
15732,8382
15732,8669
41115,2592
93556,3956
93556,8843
93556,8857
67228,1425
10060,8604
12004,8659
27530,7906
65093,1631
25620,7932
29075,9353
56501,7180
50040,5501
50040,5502
58700,6651
27880,8415
12051,1840
12051,2181
12051,2751
12051,8659
